Account ID,Account Name,Account Code,Description,Account Type,Mileage Rate,Mileage Unit,IsMileage,Account # ,Currency,Parent Account
6241242000000010001,Other Charges,,Miscellaneous charges like adjustments made to the invoice can be recorded in this account.,Income,0.000,,false,,USD,
6241242000000032023,Lodging,,Any expense related to putting up at motels etc while on business travel can be entered here.,Expense,0.000,,false,,USD,
6241242000000000358,Undeposited Funds,1103,Record funds received by your company yet to be deposited in a bank as undeposited funds and group them as a current asset in your balance sheet.,Cash,0.000,,false,,USD,
6241242000000000361,Petty Cash,,It is a small amount of cash that is used to pay your minor or casual expenses rather than writing a check.,Cash,0.000,,false,,USD,
6241242000000000364,Accounts Receivable,,The money that customers owe you becomes the accounts receivable. A good example of this is a payment expected from an invoice sent to your customer.,Accounts Receivable,0.000,,false,,USD,
6241242000000000367,Furniture and Equipment,,Purchases of furniture and equipment for your office that can be used for a long period of time usually exceeding one year can be tracked with this account.,Fixed Asset,0.000,,false,,USD,
6241242000000000370,Advance Tax,,"Any tax which is paid in advance is recorded into the advance tax account. This advance tax payment could be a quarterly, half yearly or yearly payment.",Other Current Asset,0.000,,false,,USD,
6241242000000000373,Accounts Payable,,"This is an account of all the money which you owe to others like a pending bill payment to a vendor,etc.",Accounts Payable,0.000,,false,,USD,
6241242000000000376,Tax Payable,,The amount of money which you owe to your tax authority is recorded under the tax payable account. This amount is a sum of your outstanding in taxes and the tax charged on sales.,Other Current Liability,0.000,,false,,USD,
6241242000000000379,Retained Earnings,,The earnings of your company which are not distributed among the share holders is accounted as retained earnings.,Equity,0.000,,false,,USD,
6241242000000000382,Owner's Equity,,The owners rights to the assets of a company can be quantified in the owner''s equity account.,Equity,0.000,,false,,USD,
6241242000000000385,Opening Balance Offset,,This is an account where you can record the balance from your previous years earning or the amount set aside for some activities. It is like a buffer account for your funds.,Equity,0.000,,false,,USD,
6241242000000000388,Sales,,The income from the sales in your business is recorded under the sales account.,Income,0.000,,false,,USD,
6241242000000000391,General Income,,A general category of account where you can record any income which cannot be recorded into any other category.,Income,0.000,,false,,USD,
6241242000000005001,Unearned Revenue,,"A liability account that reports amounts received in advance of providing goods or services. When the goods or services are provided, this account balance is decreased and a revenue account is increased.",Other Current Liability,0.000,,false,,USD,
6241242000000000394,Interest Income,,A percentage of your balances and deposits are given as interest to you by your banks and financial institutions. This interest is recorded into the interest income account.,Income,0.000,,false,,USD,
6241242000000000397,Late Fee Income,,Any late fee income is recorded into the late fee income account. The late fee is levied when the payment for an invoice is not received by the due date.,Income,0.000,,false,,USD,
6241242000000000400,Office Supplies,,All expenses on purchasing office supplies like stationery are recorded into the office supplies account.,Expense,0.000,,false,,USD,
6241242000000000403,Advertising And Marketing,,"Your expenses on promotional, marketing and advertising activities like banners, web-adds, trade shows, etc. are recorded in advertising and marketing account.",Expense,0.000,,false,,USD,
6241242000000000406,Discount,,Any reduction on your selling price as a discount can be recorded into the discount account.,Income,0.000,,false,,USD,
6241242000000000409,Bank Fees and Charges,,"Any bank fees levied is recorded into the bank fees and charges account. A bank account maintenance fee, transaction charges, a late payment fee are some examples.",Expense,0.000,,false,,USD,
6241242000000000412,Credit Card Charges,,"Service fees for transactions , balance transfer fees, annual credit fees and other charges levied on a credit card are recorded into the credit card account.",Expense,0.000,,false,,USD,
6241242000000000415,Exchange Gain or Loss,,Changing the conversion rate can result in a gain or a loss. You can record this into the exchange gain or loss account.,Other Expense,0.000,,false,,USD,
6241242000000000418,Travel Expense,,"Expenses on business travels like hotel bookings, flight charges, etc. are recorded as travel expenses.",Expense,0.000,,false,,USD,
6241242000000000421,Telephone Expense,,"The expenses on your telephone, mobile and fax usage are accounted as telephone expenses.",Expense,0.000,,false,,USD,
6241242000000000424,Automobile Expense,,"Transportation related expenses like fuel charges and maintenance charges for automobiles, are included to the automobile expense account.",Expense,0.000,,false,,USD,
6241242000000000427,IT and Internet Expenses,,"Money spent on your IT infrastructure and usage like  internet connection, purchasing computer equipment etc is recorded as an IT and Computer Expense.",Expense,0.000,,false,,USD,
6241242000000000430,Rent Expense,,The rent paid for your office or any space related to your business can be recorded as a rental expense.,Expense,0.000,,false,,USD,
6241242000000000433,Janitorial Expense,,All your janitorial and cleaning expenses are recorded into the janitorial expenses account.,Expense,0.000,,false,,USD,
6241242000000014001,Shipping Charge,,Shipping charges made to the invoice will be recorded in this account.,Income,0.000,,false,,USD,
6241242000000000436,Postage,,"Your expenses on ground mails, shipping and air mails can be recorded under the postage account.",Expense,0.000,,false,,USD,
6241242000000000439,Bad Debt,,Any amount which is lost and is unrecoverable is recorded into the bad debt account.,Expense,0.000,,false,,USD,
