Name,Status,Tags,Language,Code,Created Date,IT Integrations Junction Table Database,Parent item,Sub-item
CRM Bookings Link,Not started,"Embeded Code,HTML",HTML,"<a id=""linkconfig"" href=""javascript:;"">Booking Link</a><script type=""text/javascript"">document.getElementById(""linkconfig"").onclick=function(){renderIframe();document.getElementById(""embed"").style.display=""block""}</script><div id=""embed"" style=""display: none;position:fixed;top:0;right:0;bottom:0;left:0;background:rgba(0,0,,
CRM Bookings Inline,Not started,"Embeded Code,HTML",HTML,"<div id=""embed""></div><script>var url='https://crm.zoho.com/bookings/30minutesmeeting?rid=8a01151c8bb5df5dc3b8d137763ea6f9d4715e0a764cc598769df82b29df0a1d7c1eb67127d59a92d26e7cf9534d7cf3gid497156160802e29f4d7b531b85735da565ceb91773dc2fe99b07b23c5e83547a&option=embed';var width="""";if (window.innerWidth <= 1024) {width = ""90%"";}else{width = ""1100px"";}var JSElement=document.createElement(""iframe"");JSElement.src =url;JSElement.style.width =width;JSElement.style.height =400+""px"";document.getElementById(""embed"").appendChild(JSElement);</script>","May 24,,
SquareUp Donation Link,In progress,"CODE,Embeded Code,HTML,IFRAME",HTML,,
<div style="",,,,,,,,
overflow: auto;,,,,,,,,
display: flex;,,,,,,,,
flex-direction: column;,,,,,,,,
justify-content: flex-end;,,,,,,,,
align-items: center;,,,,,,,,
width: 259px;,,,,,,,,
background: #FFFFFF;,,,,,,,,
border: 1px solid rgba(0,0,0,0.1);,,,,,
box-shadow: -2px 10px 5px rgba(0,0,0,0);,,,,,
border-radius: 10px;,,,,,,,,
font-family: SQ Market,SQ Market,Helvetica,Arial,sans-serif;,,,,
"">,,,,,,,,
<img src=""https://items-images-production.s3.us-west-2.amazonaws.com/files/68f5e7fe290ae568a797002f2dcf3c26a778a87d/original.png"" alt=""Support Cody’s Survival Fund"" onerror=""this.style.display='none'"" style=""width: 100%;"">,,,,,,,,
<div style=""padding: 20px;"">,,,,,,,,
<p style="",,,,,,,,
font-size: 18px;,,,,,,,,
line-height: 20px;,,,,,,,,
"">Support Cody’s Survival Fund</p>,,,,,,,,
font-weight: 600;,,,,,,,,
"">Entered by customer</p>,,,,,,,,
<a target=""_blank"" data-url=""https://square.link/u/qTkK6YbH?src=embd"" href=""https://square.link/u/qTkK6YbH?src=embed"" style="",,,,,,,,
display: inline-block;,,,,,,,,
line-height: 48px;,,,,,,,,
height: 48px;,,,,,,,,
color: #ffffff;,,,,,,,,
min-width: 212px;,,,,,,,,
background-color: #006aff;,,,,,,,,
box-shadow: 0 0 0 1px rgba(0,0,0,.1) inset;,,,,,
border-radius: 50px;,,,,,,,,
"">Donate</a>,,,,,,,,
function showCheckoutWindow(e) {,,,,,,,,
e.preventDefault();,,,,,,,,
const url = document.getElementById('embedded-checkout-modal-checkout-button').getAttribute('data-url');,,,,,,,,
const title = 'Square Payment Links';,,,,,,,,
// Some platforms embed in an iframe,so we want to top window to calculate sizes correctly,,,,,,,
const topWindow = window.top ? window.top : window;,,,,,,,,
// Fixes dual-screen position                                Most browsers          Firefox,,,,,,,,
const dualScreenLeft = topWindow.screenLeft !==  undefined ? topWindow.screenLeft : topWindow.screenX;,,,,,,,,
const dualScreenTop = topWindow.screenTop !==  undefined   ? topWindow.screenTop  : topWindow.screenY;,,,,,,,,
const width = topWindow.innerWidth ? topWindow.innerWidth : document.documentElement.clientWidth ? document.documentElement.clientWidth : screen.width;,,,,,,,,
const height = topWindow.innerHeight ? topWindow.innerHeight : document.documentElement.clientHeight ? document.documentElement.clientHeight : screen.height;,,,,,,,,
const h = height * .75;,,,,,,,,
const w = 500;,,,,,,,,
const systemZoom = width / topWindow.screen.availWidth;,,,,,,,,
const left = (width - w) / 2 / systemZoom + dualScreenLeft;,,,,,,,,
const top = (height - h) / 2 / systemZoom + dualScreenTop;,,,,,,,,
const newWindow = window.open(url,title,scrollbars=yes,width=${w / systemZoom},height=${h / systemZoom},top=${top},left=${left});,,
if (window.focus) newWindow.focus();,,,,,,,,
// This overrides the default checkout button click handler to show the embed modal,,,,,,,,
// instead of opening a new tab with the given link url,,,,,,,,
document.getElementById('embedded-checkout-modal-checkout-button').addEventListener('click',function (e) {,,,,,,,
showCheckoutWindow(e);,,,,,,,,
});,,,,,,,,
</div>","June 23,2025 4:54 AM (EDT)",,,,,,
CONFIDENTIAL AND DISCLAIMER,Not started,CODE,HTML,"<div style=""margin-top: 40px""></div>,,,,
<hr>,,,,,,,,
<div style=""border: 2px solid rgb(185,28,28); background-color: rgb(254,226,226); padding: 16px; border-radius: 8px; margin-top: 20px"">   🔒 <strong>Confidential</strong><br />   This packet contains sensitive financial and tax-related documents intended exclusively for IRS audit purposes. Unauthorized use or distribution is strictly prohibited. </div>,,,,
<div style=""border: 2px solid rgb(202,138,4); background-color: rgb(254,249,195); padding: 16px; border-radius: 8px; margin-top: 12px"">   ⚠️ <strong>Disclaimer:</strong> This packet has been prepared for <strong>informational and organizational purposes only</strong>. While it aims to support the process by compiling relevant documentation,it <strong>does not constitute legal or tax advice</strong> and does <strong>not guarantee the outcome</strong> of anything. The preparer and affiliated parties are not liable for findings or actions taken by agencies based on this information. </div>,,,
","June 25,2025 4:33 PM (EDT)",,,,,,
electron-etl-app/,Not started,,,,,,,
├── main.js        # Electron main process (launcher)",Not started,,,,,,,
├── preload.js     # Secure bridge (optional)",Not started,,,,,,,
├── package.json   # Electron config",Not started,,,,,,,
├── /public/       # Your existing React frontend",Not started,,,,,,,
├── /src/          # React app core",Not started,,,,,,,
├── python/",Not started,,,,,,,
└── http://readme.md/",Not started,,,,,,,
HTML,Not started,HTML,,,,,,
HTML_Email Signature,Not started,HTML,,,,,,
SalesIQ Chat Icon,Not started,,,,,,,
Book With Cody,Not started,,HTML,https://qippeople.zohobookings.com/#/codyricevelasquez,,,,
Book With Cody Widget,Not started,"HTML,HTML,<iframe width='100%' height='750px' src='https://qippeople.zohobookings.com/portal-embed#/codyricevelasquez' frameborder='0' allowfullscreen='' > </iframe>,,,,
checkin,Not started,,,,,,,
MyNotary App,In progress,CODE,PY,,,,,
Zai Money Calculator,,,,"<!DOCTYPE html>,,,,
",,,,,,HTML,Done,CODE
MiniETL - Sheet Cleaner,PY",In progress,"HTML,,,,JS,
└── README.md (%E2%94%94%E2%94%80%E2%94%80%20README%20md%201e4f84a0440280109d17eb6a29a35761.md),,,,,,,,
├── python/ (%E2%94%9C%E2%94%80%E2%94%80%20python%201e4f84a04402804b8308f71b6ba85fec.md),,,,,,,,
├── /src/          # React app core (%E2%94%9C%E2%94%80%E2%94%80%20src%20#%20React%20app%20core%201e4f84a044028000a68fda8a259b249b.md),,,,,,,,
├── /public/       # Your existing React frontend (%E2%94%9C%E2%94%80%E2%94%80%20public%20#%20Your%20existing%20React%20frontend%201e4f84a044028066bbb3d95ac6899ac5.md),,,,,,,,
├── package.json   # Electron config (%E2%94%9C%E2%94%80%E2%94%80%20package%20json%20#%20Electron%20config%201e4f84a044028063bac8fc01f8c9812a.md),,,,,,,,
├── preload.js     # Secure bridge (optional) (%E2%94%9C%E2%94%80%E2%94%80%20preload%20js%20#%20Secure%20bridge%20(optional)%201e4f84a04402800b88bff84c6939d2ff.md),,,,,,,,
├── main.js        # Electron main process (launcher) (%E2%94%9C%E2%94%80%E2%94%80%20main%20js%20#%20Electron%20main%20process%20(launcher)%201e4f84a044028021af15d19a6eecad62.md),,,,electron-etl-app/ (electron-etl-app%201e4f84a0440280649affc2d821f10af5.md)",CODE,,,
electron-etl-app/,Not started,,,,,,MiniETL - Sheet Cleaner (MiniETL%20-%20Sheet%20Cleaner%201e4f84a044028026aa82e668decf7eaa.md),
├── main.js        # Electron main process (launcher)",Not started,,,,,,MiniETL - Sheet Cleaner (MiniETL%20-%20Sheet%20Cleaner%201e4f84a044028026aa82e668decf7eaa.md),
├── preload.js     # Secure bridge (optional)",Not started,,,,,,MiniETL - Sheet Cleaner (MiniETL%20-%20Sheet%20Cleaner%201e4f84a044028026aa82e668decf7eaa.md),
├── package.json   # Electron config",Not started,,,,,,MiniETL - Sheet Cleaner (MiniETL%20-%20Sheet%20Cleaner%201e4f84a044028026aa82e668decf7eaa.md),
├── /public/       # Your existing React frontend",Not started,,,,,,MiniETL - Sheet Cleaner (MiniETL%20-%20Sheet%20Cleaner%201e4f84a044028026aa82e668decf7eaa.md),
│   ├── index.html",,,,,,,",
├── /src/          # React app core (%E2%94%9C%E2%94%80%E2%94%80%20src%20#%20React%20app%20core%201e4f84a044028000a68fda8a259b249b.md)",,,,Not started,,,,
│   ├── dropzone.css",,,,,,,",
│   └── main.css",,,,,,,",
├── /src/          # React app core",Not started,,,,,,MiniETL - Sheet Cleaner (MiniETL%20-%20Sheet%20Cleaner%201e4f84a044028026aa82e668decf7eaa.md),"
│   └── main.css (%E2%94%82%20%E2%94%94%E2%94%80%E2%94%80%20main%20css%201e4f84a0440280d8aa66e12008036687.md),,,,,,,,
│   ├── dropzone.css (%E2%94%82%20%E2%94%9C%E2%94%80%E2%94%80%20dropzone%20css%201e4f84a044028038bf98c44bcb1153b2.md),,,,,,,,
│   ├── index.html (%E2%94%82%20%E2%94%9C%E2%94%80%E2%94%80%20index%20html%201e4f84a04402800b8e12f77b18ebba1b.md)",,,,,,,,
│   ├── app.js",,,,,,,",
├── python/ (%E2%94%9C%E2%94%80%E2%94%80%20python%201e4f84a04402804b8308f71b6ba85fec.md)",,,,Not started,,,,
│   ├── FileDropzone.js",,,,,,,",
│   ├── FileList.js",,,,,,,",
│   ├── Header.js",,,,,,,",
│   ├── ProcessingStatus.js",,,,,,,",
│   └── ErrorList.js",,,,,,,",
├── python/",Not started,,,,,,MiniETL - Sheet Cleaner (MiniETL%20-%20Sheet%20Cleaner%201e4f84a044028026aa82e668decf7eaa.md),"
│   └── ErrorList.js (%E2%94%82%20%E2%94%94%E2%94%80%E2%94%80%20ErrorList%20js%201e4f84a04402808fbb34daa726afbb40.md),,,,,,,,
│   ├── ProcessingStatus.js (%E2%94%82%20%E2%94%9C%E2%94%80%E2%94%80%20ProcessingStatus%20js%201e4f84a0440280258c22c244bb97d237.md),,,,,,,,
│   ├── Header.js (%E2%94%82%20%E2%94%9C%E2%94%80%E2%94%80%20Header%20js%201e4f84a044028065884ae62d6d0cbc1d.md),,,,,,,,
│   ├── FileList.js (%E2%94%82%20%E2%94%9C%E2%94%80%E2%94%80%20FileList%20js%201e4f84a0440280599babf11e1dba9150.md),,,,,,,,
│   ├── FileDropzone.js (%E2%94%82%20%E2%94%9C%E2%94%80%E2%94%80%20FileDropzone%20js%201e4f84a044028005bf6becba5ac95d84.md),,,,,,,,
│   ├── app.js (%E2%94%82%20%E2%94%9C%E2%94%80%E2%94%80%20app%20js%201e4f84a044028054af22f6b3437db1a9.md)",,,,,,,,
│   └── http://sheetcleaner.py/    # Your backend ETL engine",,,,,,,",
└── README.md (%E2%94%94%E2%94%80%E2%94%80%20README%20md%201e4f84a0440280109d17eb6a29a35761.md)",,,,Not started,,,,
└── http://readme.md/",Not started,,,,,,MiniETL - Sheet Cleaner (MiniETL%20-%20Sheet%20Cleaner%201e4f84a044028026aa82e668decf7eaa.md),"
│   └── sheetcleaner.py    # Your backend ETL engine (%E2%94%82%20%E2%94%94%E2%94%80%E2%94%80%20sheetcleaner%20py%20#%20Your%20backend%20ETL%20engine%201e4f84a044028019b9e1cea4c4e3457c.md)",,,,,,,,
QiAlly Zoho Sales IQ Signature,Done,CODE,HTML,,,,,
zoho_sync_project,Not started,CODE,PY,,,Untitled (https://www.notion.so/1eef84a04402802695fef5c65870bc77?pvs=21),,
Your code to install visitor trackingsu,,,t);d.write(%22<div id='zsiqwidget'></div>"");</script>","<script type=""text/javascript"">var $zoho= $zoho || {};$zoho.salesiq = $zoho.salesiq || {widgetcode:""siqdb087c4840b1b49e07ec03ea0af3a71c14fff19429170b3e4d9f22d7006f343c"",values:{},ready:function(){}};var d=document;s=d.createElement(""script"");s.type=""text/javascript""; s.id=""zsiqscript"";s.defer=true;s.src=""https://salesiq.zoho.com/widget%22;t=d.getElementsByTagName(%22script%22)%5B0%5D;t.parentNode.insertBefore(s,,JAVA
CRM Bookings,"May 24,,0.4);z-index:1000;""><img src=""https://static.zohocdn.com/crm/images/closeicon_59a5a09c5d664c355dbfcedb083c86a4_.png"" style=""position: absolute;left: 84%;top: 120px;z-index: 32;"" class=""calBookingCloseIcn"" onclick=""document.getElementById('embed').getElementsByTagName('iframe')[0].remove(); document.getElementById('embed').style.display='none';document.getElementsByTagName('body')[0].style.overflow='';""/></div><script>function renderIframe(){document.getElementsByTagName(""body"")[0].style.overflow=""hidden"";var url='https://crm.zoho.com/bookings/30minutesmeeting?rid=8a01151c8bb5df5dc3b8d137763ea6f9d4715e0a764cc598769df82b29df0a1d7c1eb67127d59a92d26e7cf9534d7cf3gid497156160802e29f4d7b531b85735da565ceb91773dc2fe99b07b23c5e83547a&option=embed';var JSElement=document.createElement(""iframe"");var width="""";if (window.innerWidth <= 1024) {width = ""90%"";}else{width = ""1100px"";}JSElement.src =url;JSElement.setAttribute(""style"","<input id=""buttonconfig"" style=""font-size: var(--crm-small-font-size);color:#ffffff;background-color:#2c97de;"" type=""button"" value=""Book Online Appointment""><script type=""text/javascript"">document.getElementById(""buttonconfig"").onclick=function(){renderIframe();document.getElementById(""embed"").style.display=""block""}</script><div id=""embed"" style=""display: none;position:fixed;top:0;right:0;bottom:0;left:0;background:rgba(0,0,0,""width:""+width+"";height:400px;position: fixed; top:100px;left:0;right:0;margin: 0 auto;background: #fff;border:1px solid #c0c6cc;border-radius: 5px"");document.getElementById(""embed"").appendChild(JSElement);}</script>",2025 11:13 AM (EDT)"
CRM Bookings Link,"May 24,,0.4);z-index:1000;""><img src=""https://static.zohocdn.com/crm/images/closeicon_59a5a09c5d664c355dbfcedb083c86a4_.png"" style=""position: absolute;left: calc(50% + 510px);top: 120px;z-index: 32;"" class=""calBookingCloseIcn"" onclick=""document.getElementById('embed').getElementsByTagName('iframe')[0].remove(); document.getElementById('embed').style.display='none';document.getElementsByTagName('body')[0].style.overflow='';""/></div><script>function renderIframe(){document.getElementsByTagName(""body"")[0].style.overflow=""hidden"";var url='https://crm.zoho.com/bookings/30minutesmeeting?rid=8a01151c8bb5df5dc3b8d137763ea6f9d4715e0a764cc598769df82b29df0a1d7c1eb67127d59a92d26e7cf9534d7cf3gid497156160802e29f4d7b531b85735da565ceb91773dc2fe99b07b23c5e83547a&option=embed';var JSElement=document.createElement(""iframe"");var width="""";if (window.innerWidth <= 1024) {width = ""90%"";}else{width = ""1100px"";}JSElement.src =url;JSElement.setAttribute(""style"","<a id=""linkconfig"" href=""javascript:;"">Booking Link</a><script type=""text/javascript"">document.getElementById(""linkconfig"").onclick=function(){renderIframe();document.getElementById(""embed"").style.display=""block""}</script><div id=""embed"" style=""display: none;position:fixed;top:0;right:0;bottom:0;left:0;background:rgba(0,0,0,""width:""+width+"";height:400px;position: fixed; top:100px;left:0;right:0;margin: 0 auto;background: #fff;border:1px solid #c0c6cc;border-radius: 5px"");document.getElementById(""embed"").appendChild(JSElement);}</script>",2025 11:14 AM (EDT)"
CRM Bookings Inline,,,,"<div id=""embed""></div><script>var url='https://crm.zoho.com/bookings/30minutesmeeting?rid=8a01151c8bb5df5dc3b8d137763ea6f9d4715e0a764cc598769df82b29df0a1d7c1eb67127d59a92d26e7cf9534d7cf3gid497156160802e29f4d7b531b85735da565ceb91773dc2fe99b07b23c5e83547a&option=embed';var width="""";if (window.innerWidth <= 1024) {width = ""90%"";}else{width = ""1100px"";}var JSElement=document.createElement(""iframe"");JSElement.src =url;JSElement.style.width =width;JSElement.style.height =400+""px"";document.getElementById(""embed"").appendChild(JSElement);</script>","May 24,2025 11:15 AM (EDT)",HTML,Not started
SquareUp Donation Link,,,,"<div>,,,,
</div>",In progress,"CODE,HTML,"June 23,2025 4:54 AM (EDT)",,,
CONFIDENTIAL AND DISCLAIMER,,,,"<div style=""margin-top: 40px""></div>,,,,
",Not started,CODE,HTML,"June 25,2025 4:33 PM (EDT)",,,
