Name,Docs/Folder,ROOT FOLDER,Tags
MARLON ALEXANDER SOLIS IGUARDIA DOCS,,ITIN Application Signed (ITIN%20Application%20Signed%20b2e74398af5946f99fdced5b99e00df5.md),DOCUMENT
ITIN Application Signed,"MARLON ALEXANDER SOLIS IGUARDIA DOCS (MARLON%20ALEXANDER%20SOLIS%20IGUARDIA%20DOCS%209cb6ab9df2b44e3b9fcba6e51944f78f.md), TRACKING LABEL (TRACKING%20LABEL%2073a99296cb754252ab2ac1621c0e4acd.md)",6. Tax Documents (6%20Tax%20Documents%200959320d881944e3a288764d8c68c524.md),DOCUMENT
TRACKING LABEL,,ITIN Application Signed (ITIN%20Application%20Signed%20b2e74398af5946f99fdced5b99e00df5.md),LABEL
EXAMPLE ONBOARDING DOCUMENTS,,1. Onboarding (1%20Onboarding%203d2ab09ed19142c48505ad2e66345e5e.md),DOCUMENT
2. Financial Statements,,,FOLDER
1. Onboarding,EXAMPLE ONBOARDING DOCUMENTS (EXAMPLE%20ONBOARDING%20DOCUMENTS%200b65562ab671480faf1e3130d190ca74.md),,FOLDER
9. Misc,,,FOLDER
7. Marketing,,,FOLDER
5. Bank Statements,,,FOLDER
4. Receipts,,,FOLDER
6. Tax Documents,ITIN Application Signed (ITIN%20Application%20Signed%20b2e74398af5946f99fdced5b99e00df5.md),,FOLDER
8. Reports,,,FOLDER
3. Invoices,,,FOLDER
