COA-CODE,COA-NAME,TAX-FORM,TAX-Schedule_C_Line_Items,Credit Accounts
3400,3400-Document Service Income,Schedule C,Part I - Income-1. Gross receipts or sales (Part%20I%20-%20Income-1%20Gross%20receipts%20or%20sales%20777bf489be1f4e7b81ce67acf3865127.md),
3500,3500-Marketing Service Income,Schedule C,Part I - Income-1. Gross receipts or sales (Part%20I%20-%20Income-1%20Gross%20receipts%20or%20sales%20777bf489be1f4e7b81ce67acf3865127.md),
3600,3600-Property Subscriptions,Schedule C,Part I - Income-1. Gross receipts or sales (Part%20I%20-%20Income-1%20Gross%20receipts%20or%20sales%20777bf489be1f4e7b81ce67acf3865127.md),
3601,3601-Rental Subs,Schedule C,Part I - Income-1. Gross receipts or sales (Part%20I%20-%20Income-1%20Gross%20receipts%20or%20sales%20777bf489be1f4e7b81ce67acf3865127.md),
3700,3700-Tesla Subs,Schedule C,Part I - Income-1. Gross receipts or sales (Part%20I%20-%20Income-1%20Gross%20receipts%20or%20sales%20777bf489be1f4e7b81ce67acf3865127.md),
3800,3800-Product Sales,Schedule C,Part I - Income-1. Gross receipts or sales (Part%20I%20-%20Income-1%20Gross%20receipts%20or%20sales%20777bf489be1f4e7b81ce67acf3865127.md),
3900,3900-Misc Income,Schedule C,Part I - Income-1. Gross receipts or sales (Part%20I%20-%20Income-1%20Gross%20receipts%20or%20sales%20777bf489be1f4e7b81ce67acf3865127.md),
4000,4000-Expenses,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4010,4010-Advertising,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4011,4011-Online Ads,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4012,4012-Offline Ads,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4013,4013-Promotions,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4020,4020-Car and Truck,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4021,4021-Vehicle Insurance,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4022,4022-Fuel and Charging,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4023,4023-Repairs and Maintenance,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4024,4024-Oil Change and Lube,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4025,4025-Mechanical,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4026,4026-Cosmetic,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4027,4027-Depreciation and Amortization (Form 4562),Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4028,4028-Depreciation Expense for Car and Other Property,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4029,4029-Mileage Deduction for Car,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4030,4030-Commissions and Fees,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4031,4031-Sales Commissions,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4032,4032-Referral Fees,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4033,4033-Service Fees,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4040,4040-Contract Labor,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4041,4041-Independent Contractors,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4042,4042-Temporary Workers,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4043,4043-Freelancers,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4050,4050-Depletion,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4060,4060-Depreciation and Section 179,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4061,4061-Equipment,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4062,4062-Buildings,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4063,4063-Section 179 Deductions,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4070,4070-Employee Benefits Programs,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4071,4071-Health Insurance,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4072,4072-Retirement Plans,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4073,4073-Other Employee Benefits,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4074,4074-Tuition Assistance,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4075,4075-Incentive Bonus,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4076,4076-Other Appreciation,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4080,4080-Insurance,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4081,4081-Property Insurance,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4082,4082-Liability Insurance,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4083,4083-Commercial Auto Insurance,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4090,4090-Interest,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4091,4091-Mortgage Interest,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4092,4092-Credit Card Interest,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4093,4093-Other Interest,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4100,4100-Legal and Professional Services,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4101,4101-Accounting Fees,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4102,4102-Legal Fees,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4103,4103-Consulting Fees,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4200,4200-Office Expense,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4201,4201-Office Supplies,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4202,4202-Office Equipment,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4203,4203-Software Subscription,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4300,4300-Pension and Profit Sharing Plans,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4301,4301-Defined Benefit Plans,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4301,4301-Defined Benefit Plans,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4302,4302-Defined Contribution Plans,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4350,4350-Software Subscriptions,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4400,4400-Rent or Lease,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4401,4401-Vehicles,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4402,4402-Property,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4403,4403-Office Space Lease,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4500,4500-Repairs and Maintenance,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4501,4501-Equipment Repairs,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4502,4502-Building Repairs,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4503,4503-Maintenance Contracts,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4600,4600-Supplies (Not in COGS),Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4601,4601-Cleaning Supplies,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4602,4602-Small Tools and Equipment Repair,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4700,4700-Taxes and Licenses,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4701,4701-Business License,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4702,4702-Payroll Taxes,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4703,4703-Property Taxes,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4800,4800-Travel and Meals,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4801,4801-Travel,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4802,4802-AirFare,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4803,4803-Hotel and Lodging,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4804,4804-Deductible Meals,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4805,4805-Meals with Clients,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4806,4806-Meals During Travel,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
,4817SD Home,,,
4900,4900-Utilities,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4901,4901-Electricity,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4902,4902-Water and Sewer,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4903,4903-Internet and Phone,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4904,4904-WAN Connection,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
4905,4905-Phone Plan,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
5000,5000-Wages,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
5001,5001-Salaries,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
5002,5002-Bonuses,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
5003,5003-Employee Benefits (Taxable),Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
5100,5100-Other Expenses,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
5101,5101-Misc Expense,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
5102,5102-Postage and Shipping,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
5103,5103-Business Gifts,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
5104,5104-Legal and Regulatory,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
5105,5105-Dues & Subscriptions,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
5106,5106-Professional Membership Fees,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
5107,5107-Subscriptions to Publications,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
5108,5108-Online Services,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
5109,5109-Bank Fees,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
5110,5110-Monthly Fees,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
5111,5111-Transaction Fees,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
5112,5112-Merchant Service Fees,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
5113,5113-Energy-Efficient Commercial Buildings Deduction,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
5114,5114-Purchase discounts,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
5115,5115-Exchane Gain or Loss,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
5200,5200-Business Use of Home,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
5201 (A),5201A-Simplified Method,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
5202 (B),5202B-Other Method,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
5204,5204-Office Supplies,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
5205,5205-Office Furniture,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
5206,5206-Indirect Expenses,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
5207,5207-Mortgage or Rent,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
5208,5208-Mortgage Interest,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
5209,5209-Property Taxes,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
5210,5210-Utilities,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
5211,5211-Insurance,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
5212,5212-Depreciation,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
5300,5300-Cost of Goods Sold (COGS),Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
5301,5301-Materials and Supplies,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
5302,5302-Other COGS,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
5900,5900-Bad Debt,Schedule C,Part II - Expenses (Part%20II%20-%20Expenses%20cec13d4f824f41f6a55f88b693445708.md),
6000,6000-Equity,Schedule C,Part X - 3. Equity Account (Part%20X%20-%203%20Equity%20Account%2094ca4c07224a4bd18ffc3037799a0e8e.md),
6100,6100-Owners Equity,Schedule C,Part X - 3. Equity Account (Part%20X%20-%203%20Equity%20Account%2094ca4c07224a4bd18ffc3037799a0e8e.md),
6130,6130-Owners Investment,Schedule C,Part X - 3. Equity Account (Part%20X%20-%203%20Equity%20Account%2094ca4c07224a4bd18ffc3037799a0e8e.md),
6150,6150-Owners Draw/Personal,Schedule C,Part X - 3. Equity Account (Part%20X%20-%203%20Equity%20Account%2094ca4c07224a4bd18ffc3037799a0e8e.md),
6200,6200-Opening Balance Equity,Schedule C,Part X - 3. Equity Account (Part%20X%20-%203%20Equity%20Account%2094ca4c07224a4bd18ffc3037799a0e8e.md),
6300,6300-Retained Earnings,Schedule C,Part X - 3. Equity Account (Part%20X%20-%203%20Equity%20Account%2094ca4c07224a4bd18ffc3037799a0e8e.md),
6600,6600-Outstanding Shares or other Equity,Schedule C,Part X - 3. Equity Account (Part%20X%20-%203%20Equity%20Account%2094ca4c07224a4bd18ffc3037799a0e8e.md),
,Adams Immigration,Not Applicable,,
,AES Indiana,Not Applicable,,
,AMAZON,,,
,AMAZON,,,
2102.001,Amazon,,,
,Amazon Business Prime Card,,,
,AMAZON PRIME,,,
,AMERICAN EXPRESS,,,
,AMERICAN EXPRESS,,,
2102.002,"American Express ",,,
,American Express 52006,,,
,AMERICAN EXPRESS CARD,,,
2102.003,BMO BANK N.A.,,,
,BMO CASH BANK CARD,,,
,Bridgecrest 2003027,,,
,CAPITAL ONE QUICKSILVER ONE,,,
,CAPITALONE,,,
2102.004,CapitalOne,,,
,CAPITALONE QUICKSILVER,,,
,CAPITALONE SPARK BUSINESSCARD,,,
,CAPITALONE SPARK BUSINESSCARD,,,
,CHASE BUSINESS UNLIMITED,,,
2111.JP4139,Chase Credit Card,,,
,CHASE FREEDOM FLEX,,,
,CHASE FREEDOM UNLIMITED,,,
,CHASE INK BUSINESS PREFERRED,,,
,CHASE INK BUSINESS PREFERRED,,,
,Citi Card (American Airelines),,,
,Coin Collections,,,
2111.CO6332,CreditOne Auth User Cody,,,CreditOne Cody (CreditOne%20Cody%20221f84a044028013894affebf85a38ae.md)
,CreditOne Bank,,,
,CreditOne Cody,,,
2111.CO6332,CreditOneJoel,,,CreditOneJoel (1) (CreditOneJoel%20(1)%20221f84a044028068b6b2c34fd4c90ef6.md)
,FCFCU,,,
,FCFCU 2,,,
2102.005,Home-Lowes,,,
,INDIANA P-EBT,,,
1101,INTUIT QUICKBOOKS DEBIT CARD,Schedule C,Part X - 1. Asset Account (Part%20X%20-%201%20Asset%20Account%20d80fcf0cb1af416694a837eb332e0e35.md),
2111.JP,JP Morgan Chase,,,
2111,"Line of Credit Joel ",,,
,LOWE’S ADVANTAGE,,,
2111.ML,Mission Lane,,,
2111.ML7626,MissionLane-Cody,Not Applicable,Part X - 2. Liability Account (Part%20X%20-%202%20Liability%20Account%20b3b77b93d7994d1b97fd864215de3679.md),MissionLane-Cody (MissionLane-Cody%20221f84a044028000898acdf17fd38beb.md)
,MissionLane-Joel,,,
,Monica Hernandez,Schedule C,,
,Office Equipment,,,
2111.008,Other Cards,,,
1101,PNC BANK CARD,Schedule C,Part X - 1. Asset Account (Part%20X%20-%201%20Asset%20Account%20d80fcf0cb1af416694a837eb332e0e35.md),
