MS-IL Background Check Adjudication Grid-30.12-GL1222.4-07242018,Property," 1"," 2"," 3"
,MEETS REQUIREMENTS,DOESN'T MEET REQUIREMENTS,NEEDS FURTHER REVIEW,DELAYED DECISION
Adjudication:,,,,
Address questions about background checks or  the adjudication grid to bgc-support@amazon.com.,,,,
Scope,,,,
"Contractors are required to disclose 7 years of history as permitted by state law. If the disposition date or prison release date of a case falls within the previous 7 years of history,the case will be used in adjudication. If  probation or parole concludes within the previous 7 years,the case will be used to adjudicate as permitted by state law. Probation will not be used to extend the scope in CA,KS,MA
",,,,
Juvenile Records (under 18 years of age),,,,
Reportable/public criminal case out of juvenile court,,,X,
Reportable/public criminal case where juvenile was charged as an adult,,,X,
Reportable/public criminal case where person is under 18 and charging court is unknown,,,X,
State Law Compliance - Job Relatedness,,,,
"To ensure compliance with state law,when the individual resides in or the position is located in CA,DC,HI,KS
Name Match Only Criminal Cases,,,,
Criminal cases that are name-only and/or partial identifier matches that would be adjudicated as does not meet requirements will be adjudicated as needs review.,,,,
Deferral/Diversion States,,,,
"Dispositions of deferred adjudication/prosecution,adjudication/judgment withheld,conditional discharge,diversion,and pre-trial diversion/intervention may be treated the same as convictions in the following states: AZ
"Felonies ",,,,
CONVICTION DISPOSITIONS,,,,
Guilty - A judge or jury finds that the evidence proves beyond a reasonable doubt that the defendant committed the offense or the defendant pleads and is found guilty.,,," "," "
No Contest/ Nolo Contendere - A statement that the defendant will not contest a charge.,,,,
No Plea - The defendant does not submit a statement of Not Guilty.,,,,
"Felony Level Convictions ",,,,
"Alcohol (DUI - 3rd offense,blood alcohol level over .10% with injury/death/property damage,manufacture alcohol)",,X
"Animals (animal fights,animal abuse/cruelty)"," ",X,
Animals (hunting without proper permit),X,,,
Attempt/Conspiracy with Description of Crime - Adjudicate based on nature of crime,,,Depends on convictions,
Attempt/Conspiracy without Description of Crime,,,Depends on convictions,
"Computer/Electronics/Data (hacking,identity theft,skimming,unauthorized access,illegal use/possession of electronic devices
"Disorderly Conduct (violence including fighting,weapons)",,X,
"Disorderly Conduct (without violence or weapons,unspecified)",X - 2 within the last 7 years,,
"Drugs (sell/manufacture/distribution,deliver,dispense without prescription)",,X
"Drugs (possession,use,maintaining a drug house,paraphernalia) ",
"Failures/Contempt - excluding failure to identify (ex-felon fail to change address,failure to appear/pay,failure to file/pay taxes,disobey a court order-unspecified)",X - 2 within the last 7 years
Failure to Register as a Sex Offender (failure to notify registry of address/name change),,X,,
Flagrant Non-support,X - 1 case over 3 years old,X - 1 case within the last 3 years or 2+ cases,,
"Gaming (accept a wager,gambling,keeping a gambling house,rigging,mob action
"Harassment/Threats (stalking,criminal/terroristic threats,unwanted communication,intimidation)",
"Interference/Evade/Obstruction (aid/abet,elude/escape,coercion,misprison of a felony,harbor
Kidnapping (false/unlawful imprisonment),,X,,
Kidnapping (illegally transporting a minor),,,X,
Licensing - excluding traffic (fail to maintain license/registration),X - 2 within the last 7 years,,,
"Misconduct in a Public Office ",X - 2 within the last 7 years,,,
"Neglect/Cruelty/Endangerment/Abuse/Recklessness (non-traffic reckless/wanton endangerment,child/elder/dependent adult abuse/neglect)",,,X
Non Support of Dependent,X - 2 within the last 7 years,X - 3 or more within the last 7 years,,
Persistent Offender Enhancement,,X,,
Promoting Contraband,,X,,
"Property Damage (vandalism,malicious destruction/mischief,arson)",,X
"Prostitution (soliciting,solicitation,pandering)",X - 2 within the last 7 years,
Protection Order (violating a protection/restraining/stay away/no contact order),X - 2 within the last 7 years,,,
"Public Disturbance (dealing in hazardous waste,rioting/demonstrating,causing a panic)",X - 2 within the last 7 years,
Resisting Arrest,X,,,
"Sex Crimes (rape,statutory rape,sexual battery/assault,unlawful sex with a minor,child pornography
"Theft/Fraud (larceny,welfare/unemployment fraud,credit card/check fraud,theft by deception,worthless  checks
"Traffic (hit and run with injury or death,vehicular assault/manslaughter/homicide,reckless/wanton endangerment,repeat offender)",
"Traffic (habitual offender,driving while suspended)",X - 2 within the last 7 years,X - 3 within the last 7 years,
"Trespassing (criminal trespass/access/entry,unspecified)",X - 2 within the last 7 years,,
"Trespassing (burglary,use of a facility for illegal purposes,breaking and entering)",,X
Unlawful Transaction with a Minor,X - 2 within the last 7 years,,,
Uttering a Forged Instrument,,X,,
"Violence (assault,battery,bodily injury,offensive touching,attempted murder
"Weapons (explosives,make/possess bombs,illegal transport/sell/alter/discharge/possession firearm/weapon,conceal)"," "
Weapons (failure to register firearm),X - 2 within the last 7 years,,,
Felony level non-convictions and deferrals/diversions are adjudicated as noted immediately below:,,,,
OPEN DISPOSITIONS,,,,
Pending / Active - a case that is still in process in the courts without a disposition.,,,X - if meets or needs review as a conviction (EE will have 30 days to rectify warrant or will be deactivated),X - if DNM as a conviction
Warrant / Capias - a case with an active warrant.,,,X - if meets or needs review as a conviction (EE will have 30 days to rectify warrant or will be deactivated),X - if DNM as a conviction
OTHER DISPOSITIONS,,,,
Acquitted - A judge or jury finds that the evidence proves that the defendant did not commit the crime.,DO NOT REPORT,,,
Not Guilty - A judge or jury finds that the evidence does not provide beyond a reasonable doubt that the defendant committed the offense.,DO NOT REPORT,,,
Nol Pros or Nolle Prosse(d)- The state�s attorney declares that he or she will not prosecute a case or some charge on a case any further.,DO NOT REPORT,,,
Withdrawn - The state's attorney or judge withdraws charges against a defendant.,DO NOT REPORT,,,
"Accelerated Rehabilitation Disposition Program (ARD) - (PA) Postponing a judgment based on the defendant completing court assignments for rehabilitation.  First offender program; If program fees & fines are completed,case/charge MAY be dismissed.",X,,
"Adjournment in Contemplation of Dismissal (ACD) - offered with the expectation that the case will be dismissed once the probation period is over,provided the defendant commits no further offenses of any kind. ",X,,
Adjudication Withheld or Judgment Withheld - a withholding of judgment for a predetermined amount of time with requirements assessed against the defendant by the court.," X - if meets requirements as a conviction",X- if DNM as a conviction and listed as a deferral state,"X- if needs review as a conviction or state is not listed as a deferral state ",
Bail/Bond Forfeiture,X - if a non-conviction,X- if DNM as a conviction,X - if needs review as conviction,
"Conditional Discharge - A sentence passed by a court whereby the defendant is not punished,provided they comply with certain conditions."," X - if meets requirements as a conviction",X- if DNM as a conviction and listed as a deferral state,"X- if needs review as a conviction or state is not listed as a deferral state "
"Continued without Finding - The continuance of an active case to a specified subsequent date without a finding of guilt,dependent on actions by the court.",X,,
"Deferred Adjudication - Postponing a judgment,this does not mean to omit or dismiss."," X - if meets requirements as a conviction",,X- if needs review as a conviction or state is not listed as a deferral state
Deferred Prosecution - Postponing prosecution; this does not mean to omit or dismiss.," X - if meets requirements as a conviction",,X- if needs review as a conviction or state is not listed as a deferral state,
Dismissed - The judge orders the disposing of an action without trial of the issues involved or without any further consideration or hearing,DO NOT REPORT,,,
"Diversion Granted  - Pre-trial intervention,first-time or petty criminal offenders are not subjected to the regular judicial process,usually placed on probation for no more than 1 yr.  Not an admission of guilt or a conviction "," X - if meets requirements as a conviction",
Fugitive File,,,,X
Extradition - Refer to related case,,,,
No Billed,DO NOT REPORT,,,
Paid Out - Not a conviction,X,,,
"Prayer for Judgment  (NC) ",X,,,
Plea in Abeyance - (Utah) A plea submitted by the court because the defendant is not present in court.," X - if meets requirements as a conviction",X- if DNM as a conviction and listed as a deferral state,"X- if needs review as a conviction or state is not listed as a deferral state ",
Pre-Trial Diversion/Intervention," X - if meets requirements as a conviction",X- if DNM as a conviction and listed as a deferral state,"X- if needs review as a conviction or state is not listed as a deferral state ",
Stet Docket,X,,,
Stricken with Leave  - The judge removes the case from the docket while reserving the right to recall or reinstate the case at a later date.,X,,,
Waived for Court - Refer to related case,,,,
Withdrawn to Lower Court - Refer to related case,,,,
Misdemeanors - less serious than felony and sanctioned by less severe penalties,,,,
"       For minor misdemeanors in Ohio,please see Infractions section below.",,,
Guilty - A judge or jury finds that the evidence proves beyond a reasonable doubt that the defendant committed the offense or the defendant pleads and is found guilty.,,,,
No Contest/ Nolo Contendere - A statement that the defendant will not contest a charge made by the government.,,,,
"Misdemeanor Level Convictions ",,,,
Three or more cases (excluding traffic) that would adjudicate as meets requirements,,X,,
Ten or more traffic-related cases that would adjudicate as meets requirements,,X,X,
"Alcohol (DUI,Illegal sale/possession of alcohol,minor in possession/under influence of alcohol,open container,public intoxication
"Animals (dog at large,vicious animal,unlawful hunting,unregistered pet)",X
"Animals (cruelty to animal,animal fights)",,X,
Attempt/Conspiracy - Adjudicate based on nature of crime,,,Dependent on charge,
"Computer/Electronics/Data (hacking,identity theft,skimming,unauthorized access,illegal use/possession of electronic devices
Contempt of Court,X,,,
Criminal Mischief,X - 2 cases or less,X - 3 or more cases,,
"Disorderly Conduct (with or without violence including fighting,weapons,unspecified)",without violence,With violence
"Drug Paraphernalia (pipe,needles,syringes)",X - 1-2 cases within 3 years old,"X - 2 cases in the last 3 years
"Drugs - excluding marijuana (possess/use/sell/transport/under the influence controlled substance/narcotics,dispense without prescription)",X - 2 or fewer cases in over 3 years,"X - 2 cases in the last 3 years,or 3 or more cases"
Drugs - Marijuana/Hashish/Cannabis (possession),X - 1-3 cases,X 4 or more,,
Drugs - Marijuana/Hashish/Cannabis (manufacture/deliver/distribute/sell),"X - 1 case,or 2 cases in over 3 years","X - 2 or more cases in the last 3 years,or 3 or more cases"
"Endangerment/Recklessness (non-traffic reckless/wanton endangerment,child endangerment)","X - 1 case,or 2 cases in over 3 years","X - 2 or more cases in the last 3 years
Failure to Appear,"X - 1 case,or 2 cases in over 3 years","X - 2 or more cases in the last 3 years,or 3 or more cases"
Failure to Pay Child Support,X,,,
Fake/False Identification,X - 2 or fewer cases in over 3 years,,,
"Gaming (gambling,possess gambling device/record,attempt/influence tampering lottery equipment))",X - 2 or fewer cases in over 3 years,
"Harassment/Threats (stalking,criminal/terroristic threats,unwanted communication,menacing,intimidation
"Interference/Evade/Obstruction (aid/abet,elude/escape,coercion,false report,perjury
Licensing - excluding traffic and weapons (fail to maintain license/registration),X,,,
"Misconduct in a Public Office ",X - 2 or fewer cases in over 3 years,,,
Neglect/Cruelty/Abuse (child/elder/dependent adult abuse/neglect),,X,,
Promoting Contraband,"X - 1 case,or 2 cases in over 3 years",,
"Property Damage (vandalism,criminal/malicious mischief)","X - 1 case,or 2 cases in over 3 years",
"Property Damage (littering,graffiti)",X,,
"Prostitution (soliciting,solicitation,pandering)","X - 1 case,or 2 cases in over 3 years"
Protection Order (violating a protection/restraining/stay away/no contact order),"X - 1 case,or 2 cases in over 3 years",,
"Public Disturbance  (rioting/demonstrating,causing a panic,unspecified)","X - 1 case,or 2 cases in over 3 years"
"Public Disturbance  (loitering,disturbing the peace,noise,public urination)",X
"Public Indecency,Indecent Exposure,Lewd/Obscene Act","X - 1 case,or 2 cases in over 3 years"
Resisting Arrest,X - 2 within the last 7 years,X - More then 2 years,,
"Sex Crimes (rape,sexual battery/assault,sex abuse,child molestation,voyeurism
"Sex Crimes (unlawful sex with a minor,statutory rape,child/illegal pornography,corruption of a minor)",
Shoplifting under $500,X - 2 within the last 7 years,,,
"Taxes (Failure to pay taxes,tax evasion)",X,,
"Theft/Fraud (cold/hot/NSF/theft by check over $300,larceny,welfare/unemployment fraud,credit card/check fraud,theft by deception
Theft/Fraud (cold/hot/NSF/theft by check $300 OR LESS),,"X ",,
Theft/Fraud (cold/hot/NSF/theft by check - amount not specified),,"X ",,
"Traffic (license suspended/revoked,operating unsafe vehicle,excessive speed,hit and run,reckless driving
"Trespassing (criminal trespass,unauthorized entry,prowling,government property,unspecified)"
Trespassing (in park after hours),X,,,
Truancy (aiding truancy),X,,,
Unlawful Transaction with a Minor,"Less than 1 in the last 3 years,2 in less than 7",,
"Violence (assault,battery,domestic violence/battery,injury upon child)",
"Weapons (make/possess bombs,illegal transport/sell/alter/discharge/possession firearm/weapon,conceal)"," ",X
"Weapons (transport uncased firearm,failure to register firearm,possess/use fireworks/explosives)","Less than 1 in the last 3 years,2 in less than 7"
Misdemeanor level non-convictions and deferrals/diversions are adjudicated as noted immediately below:,,,,
Pending / Active - a case that is still in process in the courts without a disposition.,X - if meets as a conviction,,X - if needs review as a conviction,X - if DNM as a conviction
Warrant / Capias - a case with an active warrant.,X - if meets as a conviction,,X - if needs review as a conviction,X - if DNM as a conviction
OTHER DISPOSITIONS,," ",,
Adjudication Withheld or Judgment Withheld - a withholding of judgment for a predetermined amount of time with requirements assessed against the defendant by the court.," X - if meets requirements as a conviction",,Term of plea agreement with completed paperwork to Trak 1,
"Bail/Bond  Forfeiture ",,X,,
"Conditional Discharge - A sentence passed by a court whereby the defendant is not punished,provided they comply with certain conditions.",,,Dependent on charge
"Continued without Finding - The continuance of an active case to a specified subsequent date without a finding of guilt,dependent on actions by the court.",,,Dependent on charge
"Deferred Adjudication - Postponing a judgment,this does not mean to omit or dismiss.",,,Dependent on charge
Deferred Prosecution - Postponing prosecution; this does not mean to omit or dismiss.,,,Dependent on charge,
"Diversion Granted  - Pre-trial intervention,first-time or petty criminal offenders are not subjected to the regular judicial process,usually placed on probation for no more than 1 yr.  Not an admission of guilt or a conviction ",,
Extradition - refer to related case,,,Dependent on charge,
Prayer for Judgment (NC),X,,,
Plea in Abeyance - (Utah) A plea submitted by the court because the defendant is not present in court.,,,Dependent on charge,
Pre-Trial Diversion/Intervention,,,Dependent on charge,
Stet Docket,,,Dependent on charge,
Stricken with Leave - The judge removes the case from the docket while reserving the right to recall or reinstate the case at a later date.,,,Dependent on charge,
Waived for Court - refer to related case,,,Dependent on charge,
Withdrawn to Lower Court - refer to related case,,,Dependent on charge,
Infractions - Infraction  /Violation / Ordinance Violation / Summary Charges / Traffic / Unclassified / Charge Class Unknown (below Felony and Misdemeanor),,,,
"       Note:  Minor misdemeanor in Ohio will be treated the same as Infractions.",,,,
Infraction-level cases are adjudicated by crime as noted immediately below:,,,,
"Alcohol (open alcohol container while driving,blood alcohol level .05% or more under 21,public intoxication,alcohol in park)",X
"Animals (Dog at large,fail to show proof of vaccination,unregistered pet)",X,
Disorderly Conduct,X,,,
"Drugs - excluding marijuana (minor in possession of tobacco,paraphernalia)",X,,
"Failures/Contempt (failure to appear,fail to pay,violation of posted order)",X,
Fake/False/Altered Identification,X,,,
Interference/Evade/Obstruction,X,,,
"Licensing (bicycle license required,fail to possess valid license )",X,,
Marijuana (possess/use marijuana under 1 oz),X,,,
"Property Damage (vandalism,graffiti,criminal/malicious mischief,littering)",X
"Prostitution (soliciting,solicitation,pandering)",X,
"Public Disturbance  (loitering,disturbing the peace,noise,rioting/demonstrating,causing a panic
Public Indecency/Indecent Exposure,X,,,
"Theft/Fraud (fare evasion,petty theft,theft by deception,shoplifting,fail to return rented property
"Traffic (license suspended/revoked,operating unsafe vehicle,excessive speed,expired/improper tabs/registration/insurance,non-DUI offenses)"
"Trespassing (remain on posted property without permission,in park after hours,unlawful entry)",X,
Truancy (curfew violations),X,,,
Violence (fighting),"X Less than 3 counts ",More than 3 or gang related,,
Weapons (possession of fireworks),X,,,
Weapons (unlawful carrying/use firearm or weapon),,X,,
Social Security Number Trace,,,,
If name returned on SSN trace does not match the name submitted or no address history is returned for the subject submitted and the individual is over 21 years old.,E Verify complete-Meets requirements,,,
Drug Testing,,,,
Positive results,,X,,
Negative results,X,,,
Dilute,,X,,
Sex Offender Registry,,,,
Continuous sexual abuse of a child,,,,
Do not report any sex offender registry records for CA and NV,X,,,
Failure to register as a sex offender,,X,,
Incest,,,,
Indecent exposure and public sexual indecency,,,,
Infamous crimes against nature,,,,
"Kidnapping,aggravated assault,murder,unlawful imprisonment,and burglary (when the offense includes evidence of sexual motivation)"
Lewd and lascivious acts,,,,
Molestation of a child,,,,
No Record Found,,,,
Record Found,,,,
